<<<<<<< Updated upstream
﻿job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
Case Manager RN ONSITE,HCA Healthcare,2025-12-20,"San Antonio, TX",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"DescriptionIntroductionExperience the HCA Healthcare difference where colleagues are trusted, valued members of our healthcare team. Grow your career with an organization committed to delivering respectful, compassionate care, and where the unique and intrinsic worth of each individual is recognized. Submit your application for the opportunity below:Case Manager RNMethodist HospitalThis position will be Part-time (Sat/Sun) two 10-hour shifts a week. Training will beduring the weekfor the first few weeks of employment.BenefitsMethodist Hospital, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation.Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.Free counseling services and resources for emotional, physical and financial wellbeing401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)Employee Stock Purchase Plan with 10% off HCA Healthcare stockFamily support through fertility and family building benefits with Progyny and adoption assistance.Referral services for child, elder and pet care, home and auto repair, event planning and moreConsumer discounts through Abenity and Consumer DiscountsRetirement readiness, rollover assistance services and preferred banking partnershipsEducation assistance (tuition, student loan, certification support, dependent scholarships)Colleague recognition programTime Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income.Learn more about Employee BenefitsNote: Eligibility for benefits may vary by location.We are seeking a(an) Case Manager RN for our team to ensure that we continue to provide all patients with high quality, efficient care. Did you get into our industry for these reasons? We are an amazing team that works hard to support each other and are seeking a phenomenal addition like you who feels patient care is as meaningful as we do. We want you to apply!Job Summary and QualificationsThe Case Manager will work with patient/families identified to have discharge planning, psychosocial, financial or other needs to develop a plan that will: 1) Optimize functional and self-care abilities; 2) facilitate system access and appropriate utilization of services; 3) facilitate communication and coordination of efforts among health care team members; and 4) promote quality, cost effective outcomes. The Case Manager will demonstrate knowledge and skills necessary to develop a plan based on physical, psychosocial, educational and age related criteria.What qualifications you will need:Graduate of an accredited diploma, associates, or baccalaureate degree nursing program.Preferred:Bachelor of Science in NursingAt least one year experience in utilization review, resource management, discharge planning or case management. Prior Case Manager experience in Acute setting is a plus.Minimum of 3 years clinical RN Experience in acute setting.RN License to practice as a professional registered nursing in the state of Texas or Active Multi-State RN Compact License. (Employees with RN Compact License are required to obtain Texas RN License within 90 days of hire date.)Methodist Hospital opened in 1963 as the first hospital in the now internationally acclaimed South Texas Medical Center. With over 900 beds, Methodist Hospital offers a broad range of specialties including cardiology, oncology, bone marrow transplants, emergency medicine, neurosciences, maternity care, gynecology and orthopedics. We are proud to be the largest provider of the lifesaving ECMO Program in San Antonio, are home to the largest robotics program in the world, and our Adult Blood Cancer and Stem Cell Transplant unit has become the first program to receive FACT Accreditation in North America.As the flagship hospital, and most comprehensive medical care facility of Methodist Healthcare, we appreciate the support and recognition we receive from the community. We've recently been named the No.1 Best Regional Hospital by the U.S. News and World Report for 2019-20. We pride ourselves on providing the highest quality of care possible for our patients, which is proven by our consecutive Grade A Leapfrog Hospital Safety scores. In addition, Methodist Hospital not only received a Primary Stroke Center designation from The Joint ...",https://click.appcast.io/t/w9ExjkcTtLrqXCO5_OvgYuHNhXmGHs_TlDprvaBhLG4KBKYh1c5wA030qn6iYcvJ,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2025-12-21T09:21:13.071299
RN Case Manager (Discharge Planner) ONSITE,MedStar Health,2025-12-20,"Washington, DC",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"About the JobGeneral Summary of PositionServes as a member of the Case Management Team and applies RN clinical expertise and medical appropriateness to care coordination and discharge planning. Facilitates the delivery of quality cost effective patient-centered care from pre-admission through post-discharge timeframe. Ensures the care is designed to meet individualized patient outcomes. Monitors the care and services delivered to selected patient populations during the acute hospital stay promotes effective case management and utilization of resources and works to achieve optimal clinical and resource outcomes for the acute and post-hospital phases of care.Primary Duties and ResponsibilitiesContributes to the achievement of established department goals and objectives and adheres to department policies procedures quality standards and safety standards. Complies with governmental and accreditation regulations.Collaborates with the multidisciplinary health care team to develop and coordinate the plan of care.Communicates with patient family and/or significant other health care team external case manager community resources and facility to address appropriate issues and patient/family goals.Demonstrates the ability to develop a plan of care that addresses needs across the continuum; have an intervention for problems identified; develop long- and short-term goals with specific time frames for resolution; identify specific services to be provided in the care plan; include the family/care-giver in the plan of care; and show life planning contingencies such as power of attorney and/or advance directives.Evaluates and documents the patient's response to the plan of care and achievement of outcomes. Makes recommendations for modifications to the plan of care as indicated. Adheres to all policies and procedures regarding documentation and confidentiality of information.Maintains knowledge of regulatory agencies' requirements necessary criteria for admission to various care settings and Medicare's/Medicaid's reimbursement methods for different levels of care.Manages a caseload of patients. Identifies essential resources needed to implement the plan of care.Manages own professional growth in the area of managed care care management other health care financial trends clinical practice and research.Manages patient care according to multidisciplinary plan of care and/or managed care contracts by directing decision making and identifying and managing barriers that impact on patient care outcomes.Participates in Performance and Service Improvement teams. Assists in program evaluation through customer service surveys LOS data analysis charge/discharge data comparison to state averages and best practice/benchmark data.Performs a comprehensive assessment in collaboration with interdisciplinary team to identify patient-specific problems and needs related to diagnosis treatment including psychosocial and financial concerns as well as medical.Minimal QualificationsEducationAssociate's degree in Nursing (ADN) requiredBachelor's degree in Nursing (BSN) preferredExperience2-3 years of clinical experience required1-2 years case management experience preferredLicenses and CertificationsRN - Registered Nurse - State Licensure and/or Compact State Licensure in the District of Columbia or Maryland depending on work location requiredCCM - Certified Case Manager preferredKnowledge Skills and AbilitiesAbility to use computer to enter and retrieve data.Working knowledge of Microsoft Word Excel and PowerPoint applications.Effective verbal and written communication skills.Must be able to run and analyze departmental productivity reports.Excellent interpersonal skills required.This position has a hiring range ofUSD $89,065.00 - USD $162,801.00 /Yr.",https://click.appcast.io/t/4DukPkxRwKVfha4o1dzn53GWce5mTfOSs8h1XIACXIAoR4iHEklvDLbBLmkb1jZ_,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2025-12-21T09:21:14.880059
=======
﻿job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
Case Manager RN ONSITE,HCA Healthcare,2025-12-20,"San Antonio, TX",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"DescriptionIntroductionExperience the HCA Healthcare difference where colleagues are trusted, valued members of our healthcare team. Grow your career with an organization committed to delivering respectful, compassionate care, and where the unique and intrinsic worth of each individual is recognized. Submit your application for the opportunity below:Case Manager RNMethodist HospitalThis position will be Part-time (Sat/Sun) two 10-hour shifts a week. Training will beduring the weekfor the first few weeks of employment.BenefitsMethodist Hospital, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation.Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.Free counseling services and resources for emotional, physical and financial wellbeing401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)Employee Stock Purchase Plan with 10% off HCA Healthcare stockFamily support through fertility and family building benefits with Progyny and adoption assistance.Referral services for child, elder and pet care, home and auto repair, event planning and moreConsumer discounts through Abenity and Consumer DiscountsRetirement readiness, rollover assistance services and preferred banking partnershipsEducation assistance (tuition, student loan, certification support, dependent scholarships)Colleague recognition programTime Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income.Learn more about Employee BenefitsNote: Eligibility for benefits may vary by location.We are seeking a(an) Case Manager RN for our team to ensure that we continue to provide all patients with high quality, efficient care. Did you get into our industry for these reasons? We are an amazing team that works hard to support each other and are seeking a phenomenal addition like you who feels patient care is as meaningful as we do. We want you to apply!Job Summary and QualificationsThe Case Manager will work with patient/families identified to have discharge planning, psychosocial, financial or other needs to develop a plan that will: 1) Optimize functional and self-care abilities; 2) facilitate system access and appropriate utilization of services; 3) facilitate communication and coordination of efforts among health care team members; and 4) promote quality, cost effective outcomes. The Case Manager will demonstrate knowledge and skills necessary to develop a plan based on physical, psychosocial, educational and age related criteria.What qualifications you will need:Graduate of an accredited diploma, associates, or baccalaureate degree nursing program.Preferred:Bachelor of Science in NursingAt least one year experience in utilization review, resource management, discharge planning or case management. Prior Case Manager experience in Acute setting is a plus.Minimum of 3 years clinical RN Experience in acute setting.RN License to practice as a professional registered nursing in the state of Texas or Active Multi-State RN Compact License. (Employees with RN Compact License are required to obtain Texas RN License within 90 days of hire date.)Methodist Hospital opened in 1963 as the first hospital in the now internationally acclaimed South Texas Medical Center. With over 900 beds, Methodist Hospital offers a broad range of specialties including cardiology, oncology, bone marrow transplants, emergency medicine, neurosciences, maternity care, gynecology and orthopedics. We are proud to be the largest provider of the lifesaving ECMO Program in San Antonio, are home to the largest robotics program in the world, and our Adult Blood Cancer and Stem Cell Transplant unit has become the first program to receive FACT Accreditation in North America.As the flagship hospital, and most comprehensive medical care facility of Methodist Healthcare, we appreciate the support and recognition we receive from the community. We've recently been named the No.1 Best Regional Hospital by the U.S. News and World Report for 2019-20. We pride ourselves on providing the highest quality of care possible for our patients, which is proven by our consecutive Grade A Leapfrog Hospital Safety scores. In addition, Methodist Hospital not only received a Primary Stroke Center designation from The Joint ...",https://click.appcast.io/t/w9ExjkcTtLrqXCO5_OvgYuHNhXmGHs_TlDprvaBhLG4KBKYh1c5wA030qn6iYcvJ,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2025-12-21T21:30:02.423307
RN Case Manager (Discharge Planner) ONSITE,MedStar Health,2025-12-20,"Washington, DC",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"About the JobGeneral Summary of PositionServes as a member of the Case Management Team and applies RN clinical expertise and medical appropriateness to care coordination and discharge planning. Facilitates the delivery of quality cost effective patient-centered care from pre-admission through post-discharge timeframe. Ensures the care is designed to meet individualized patient outcomes. Monitors the care and services delivered to selected patient populations during the acute hospital stay promotes effective case management and utilization of resources and works to achieve optimal clinical and resource outcomes for the acute and post-hospital phases of care.Primary Duties and ResponsibilitiesContributes to the achievement of established department goals and objectives and adheres to department policies procedures quality standards and safety standards. Complies with governmental and accreditation regulations.Collaborates with the multidisciplinary health care team to develop and coordinate the plan of care.Communicates with patient family and/or significant other health care team external case manager community resources and facility to address appropriate issues and patient/family goals.Demonstrates the ability to develop a plan of care that addresses needs across the continuum; have an intervention for problems identified; develop long- and short-term goals with specific time frames for resolution; identify specific services to be provided in the care plan; include the family/care-giver in the plan of care; and show life planning contingencies such as power of attorney and/or advance directives.Evaluates and documents the patient's response to the plan of care and achievement of outcomes. Makes recommendations for modifications to the plan of care as indicated. Adheres to all policies and procedures regarding documentation and confidentiality of information.Maintains knowledge of regulatory agencies' requirements necessary criteria for admission to various care settings and Medicare's/Medicaid's reimbursement methods for different levels of care.Manages a caseload of patients. Identifies essential resources needed to implement the plan of care.Manages own professional growth in the area of managed care care management other health care financial trends clinical practice and research.Manages patient care according to multidisciplinary plan of care and/or managed care contracts by directing decision making and identifying and managing barriers that impact on patient care outcomes.Participates in Performance and Service Improvement teams. Assists in program evaluation through customer service surveys LOS data analysis charge/discharge data comparison to state averages and best practice/benchmark data.Performs a comprehensive assessment in collaboration with interdisciplinary team to identify patient-specific problems and needs related to diagnosis treatment including psychosocial and financial concerns as well as medical.Minimal QualificationsEducationAssociate's degree in Nursing (ADN) requiredBachelor's degree in Nursing (BSN) preferredExperience2-3 years of clinical experience required1-2 years case management experience preferredLicenses and CertificationsRN - Registered Nurse - State Licensure and/or Compact State Licensure in the District of Columbia or Maryland depending on work location requiredCCM - Certified Case Manager preferredKnowledge Skills and AbilitiesAbility to use computer to enter and retrieve data.Working knowledge of Microsoft Word Excel and PowerPoint applications.Effective verbal and written communication skills.Must be able to run and analyze departmental productivity reports.Excellent interpersonal skills required.This position has a hiring range ofUSD $89,065.00 - USD $162,801.00 /Yr.",https://click.appcast.io/t/4DukPkxRwKVfha4o1dzn53GWce5mTfOSs8h1XIACXIAoR4iHEklvDLbBLmkb1jZ_,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2025-12-21T21:30:02.834886
Care Review Clinician (RN),Molina Healthcare,2025-12-14,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,$26.41 - $61,"Job DescriptionJob SummaryProvides support for clinical member services review assessment processes. Responsible for verifying that services are medically necessary and align with established clinical guidelines, insurance policies, and regulations - ensuring members reach desired outcomes through integrated delivery of care across the continuum. Contributes to overarching strategy to provide quality and cost-effective member care.Essential Job DutiesAssesses services for members to ensure optimum outcomes, cost-effectiveness and compliance with all state/federal regulations and guidelines.Analyzes clinical service requests from members or providers against evidence based clinical guidelines.Identifies appropriate benefits, eligibility and expected length of stay for requested treatments and/or procedures.Conducts reviews to determine prior authorization/financial responsibility for Molina and its members.Processes requests within required timelines.Refers appropriate cases to medical directors (MDs) and presents them in a consistent and efficient manner.Requests additional information from members or providers as needed.Makes appropriate referrals to other clinical programs.Collaborates with multidisciplinary teams to promote the Molina care model.Adheres to utilization management (UM) policies and procedures.Required QualificationsAt least 2 years experience, including experience in hospital acute care, inpatient review, prior authorization, managed care, or equivalent combination of relevant education and experience.Registered Nurse (RN). License must be active and unrestricted in state of practice.Ability to prioritize and manage multiple deadlines.Excellent organizational, problem-solving and critical-thinking skills.Strong written and verbal communication skills.Microsoft Office suite/applicable software program(s) proficiency.Preferred QualificationsCertified Professional in Healthcare Management (CPHM).Recent hospital experience in an intensive care unit (ICU) or emergency room.Preferred ExperiencePrevious experience in managed care Prior Auth, Utilization Review / Utilization Management and knowledge of Interqual / MCG guidelines.MULTI STATE / COMPACT LICENSUREIndividual state licensures which are not part of the compact states are required for: CA, NV, IL, NY and MIWORK SCHEDULE: Tues - Sat shift will rotate with some holidays.Training will be held Mon - FriTo all current Molina employees: If you are interested in applying for this position, please apply through the Internal Job Board.Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/VPay Range: $26.41 - $61.79 / HOURLYActual compensation may vary from posting based on geographic location, work experience, education and/or skill level.",https://apply.molinahealthcare.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2035187,"Entry Level, Registered Nurse | RN, Utilization Management | Utilization Review",Remote Nurse Connection,2025-12-21T21:30:04.111033
Entry to Care Nurse Practitioner,Chase Brexton Health Care,2025-12-14,,Remote,Regular | Perm Employee,Regular | Perm Employee,"In Person Meetings, Remote",,"JOB SUMMARY:The Entry to Care Nurse Practitioner will serve in a clinical capacity for direct patient care.This role is not intended to provide primary care continuity and will not carry a patient panel, but rather to streamline entry to care through exclusively telehealth assessment of past medical, social, surgical, and family history of new patients, entry/review of current medication lists for new patients, initiation of external records retrieval as applicable, as well as any acute time-sensitive referral needs prior to the patient's first in-person visit. Additional acute and limited-concern visits may originate from other internal resources as scheduling allows and acute patient needs arise. As visit attendance and time permits, additional EMR desktop coverage may be assigned for providers who are out of office, and this will be evaluated on a rolling basis.This position will require close communication with scheduling teams and clinical teams to coordinate and monitor new patient scheduling for follow-up with assigned PCP after completion of the telehealth intake visit. Additional communication with pharmacy, social work/case management, nursing, or other teams may be required as applicable to new patient need upon intake.MAJOR DUTIES AND RESPONSIBILITIES:Patient Focus* Coordinates and ensures effective clinical appointment access and flow of care between departments and teams* Effectively engages patients in care and offers coordinated services with other members of the internal care team.Compliance, Policy, and Procedure* Practices within established policy and protocol and adheres to best practice recommendations for clinical care as appropriate.* Ensures all policies and procedures are in place and followed accordingly, and annual and periodic training and competencies are completed appropriatelyAnalytical and Critical Thinking* Maintains the standard of clinical care, using diagnostic testing appropriately and providing appropriate treatment as applicable* Considers the psychosocial aspects of both health and disease* Uses diagnostic testing appropriately yet cost-effectivelyChecking, Examining, and Recording* Maintains complete and comprehensive documentation of all care provided, whether by phone, portal, or complete visit.* Record retrieval of quality metrics, hospital records from prior 3 months, prior primary care.Professionalism* Seeks physician, specialist, or other colleague and inter-departmental consultation when appropriate* Demonstrates professionalism and integrity in all aspects of patient careSKILLS AND ABILITIES:* Ability to work effectively and respectfully in a multidisciplinary, culturally diverse team* Ability to build and maintain effective relationships* Ability to coordinate, organize, and remain flexible* Excellent technological familiarity with Microsoft products (Outlook, Teams, etc.)* Knowledge of primary care for diverse populations as well as sexually transmitted infections, trauma-based care, and social determinants of health* Spanish language skills strongly preferredEDUCATION AND/OR EXPERIENCE:* Required: Active and unrestricted license to practice medicine in Maryland* Required: Completion of an accredited NP training program and board certification* Experience providing LGBTQ health care preferred, including gender-affirming care.* Experience in HIV care, general adult medicine, and general pediatric medicine preferred.WORKING CONDITIONS/PHYSICAL DEMANDS:Work is anticipated to be entirely remote/via telehealth. Occasional on-site presence may be required for training, meetings, or other needs arise, and will be coordinated with staff in advance whenever possible. Ability to perform functions normally completed during the course of clinical care (i.e., sitting, standing, fine motor coordination), use of the keyboard for typing or editing of EMR notes, clinically evaluating and communicating plans to patients.The specific statements shown in each section of this description are not intended to be all-inclusive. They represent typical elements considered necessary to successfully perform the job.IND1",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=3593e8a8-103e-4a34-a45c-e7fa7e9fd3c8&jobId=556801,"Advanced Practice Nurse, Triage | Telehealth",Remote Nurse Connection,2025-12-21T21:30:04.523780
"Product Manager, Clinical Operations Platform",Prenuvo,2025-12-14,,Remote,Regular | Perm Employee,Regular | Perm Employee,"In Person Meetings, Remote",,"About UsAt"">prenuvo.com]. If you are contacted by a recruiter, please ensure their email address ends with @prenuvo.com. We do not use third-party recruitment services or any other email domains for hiring purposes. If you receive communication that you believe to be fraudulent, please report it immediately to[email protected].",https://app.careerpuck.com/job-board/prenuvo/job/4640531005?gh_jid=4640531005,"Informatics, Management | Leadership, Oncology & Hematology, Registered Nurse | RN",Remote Nurse Connection,2025-12-21T21:30:04.940901
"Advanced Practice Practitioner, Virtual Health",Children's Health,2025-12-14,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Job Title & Specialty Area: Virtual Health, Advanced Practice Practitioner Department: Advanced Practice Location: Remote Shift: Part Time; Thursday/Friday 10 hour shifts; Occasional Variable Shifts as needed Job Type: Remote Why Children's Health? At Children's Health, our mission is to Make Life Better for Children, and we recognize that their health plays a crucial role in achieving this goal. Through our cutting-edge treatments and affiliation with UT Southwestern, we strive to deliver an extraordinary patient and family experience, ensuring that every moment, big or small, contributes to their overall well-being. Our dedication to promoting children's health extends beyond our organization and encompasses the broader community. Together, we can make a significant difference in the lives of children and contribute to a brighter and healthier future for all. Summary: The Advanced Practice Practitioner functions as a health care provider within a particular specialty service providing age-appropriate care to a culturally diverse patient population. The Advanced Practice Practitioner works interdependently and independently within the health care team providing care that is family-centered as well as efficient, respectful of time, and fiscally responsible. This role supports the organizational mission of making life better for children by improving access to care, providing continuity of care as well as ensuring the delivery of quality care. Responsibilities: * Practitioner: * * Provides direct clinical care in an expanded role guided by education, certification, licensure, clinical expertise and Prescriptive Authority Agreement or Delegation Protocol that incorporates comprehensive assessment skills, diagnostic ability, critical thinking, independent decision-making, collaborative management of health and illness problems, leadership within complex systems, and the ability to critically analyze and translate research findings into practice. This includes: * * Patient history and physical examination. * * Diagnosis and patient management (both inpatient and outpatient as appropriate) including ordering and prescribing of medications and treatments: * - Orders and interprets necessary diagnostic and/or therapeutic tests. * - Patient consultation and referrals * - Procedures * - Evaluates patient response to interventions and modifies care plan as necessary to achieve desired outcomes * - Discharge planning. * * Anticipatory guidance regarding pediatric growth and development * Consultant/Mentor: * * Consults as needed with other health care professionals, patients, and families in the formulation and initiation of the health care plan * * Evaluates the outcome of the patient consultation and modifies recommendations as needed to facilitate restoration of health * * Utilization of advanced knowledge to provide clinical leadership to other health care professionals through mentoring, education, and clinical consultation * Educator: * * Identifies the learning needs of patients and their families and directs educational activities to meet these needs * * Recognizes educational or knowledge needs of peers or nursing staff and participates in formal or informal educational activities to meet identified needs * * Evaluates response to educational interventions, including validation of learning and understanding to determine the impact on quality of care * Researcher: * * Participates actively in research, independently or in collaboration with other professionals as a member of a research team, assisting in gathering data, collaborating as a research investigator or initiating research * * Reviews and utilizes current literature and research findings for evidence-based practice in the health care of patients and their families * Professional Accountability: * * Participates in hospital-wide performance improvement programs and assists with regulatory compliance * * Participates in the performance and quality measurement programs of the Advanced Practice Service * * Provides accurate, timely and effective communication within their clinical workgroup, the Advanced Practice Service, and with all hospital personnel * * Advanced Practice Practitioners will practice within a shared governance structure that is functional and in alignment with the Advanced Practice Service model * * Provides care in a manner that supports the Patient/Family Centered Care model and nursing philosophy adopted by Children's Health System of Texas * ADDITIONAL NOTES: * * Advanced Practice Registered Nurse (APRN) applicants must be licensed to practice as a Nurse Practitioner or Clinical Nurse Specialist by the Texas Board of Nursing (BON) prior to date of hire. * * Advanced Practice Practitioners (APRNs and Physician Assistants PAs, collectively known as APPs) are required to be fully credentialed and privileged to practice clinically on or before their date of hire. How You'll Be Successful: Other information: WORK EXPERIENCE * At least 2...",https://jobsearch.childrens.com/job/29698/Advanced-Practice-Practitioner-Virtual-Health,"Advanced Practice Nurse, Pediatrics, Triage | Telehealth",Remote Nurse Connection,2025-12-21T21:30:05.353176
